h3_index,latitude,longitude,bike_amenities,car_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,needs_amenities,other_amenities,pet_amenity,public_transport,shops_amenities,social_amenities,study_amenity,water_amenities,work_amenity,parking_area,traffic_count,number_stations,number_plugs,charger_rating,highway,voltage,has_charging_station,distance_to_center
88be08c443fffff,-34.14878068079866,150.77144190942633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,nothing,0.0,330000.0,1,51.76968759128849
88be08c453fffff,-34.15372620357963,150.74298995048932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6002.368354816486,0.0,0.0,0.0,nothing,0.0,0.0,0,54.20151627490655
88be08c45dfffff,-34.15602708923543,150.76478870597097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,nothing,0.0,330000.0,1,52.745582748859015
88be08c485fffff,-34.116678266953066,150.69334226359817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2996.074074074074,0.0,0.0,nothing,0.0,0.0,0,55.80955360822312
88be08c499fffff,-34.13724487718991,150.66247441892082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,59.41740838499993
88be08c4a1fffff,-34.10103858989684,150.6957614095288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,54.76996707315169
88be08c4a5fffff,-34.09379607619561,150.7024155533874,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,2.0,0.0,0,53.849287123322185
88be08c4a7fffff,-34.09264115158238,150.6915258595592,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,16250.672036928716,0.0,0.0,0.0,nothing,6.0,0.0,0,54.679958958160874
88be08c4a9fffff,-34.10943594895856,150.69999783356909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3193.5794437936356,0.0,0.0,0.0,nothing,0.0,0.0,0,54.878425693428966
88be08c4b5fffff,-34.09872651712009,150.673981008605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,56.42835426236996
88be08c4b9fffff,-34.11436551538403,150.6715579452817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,57.43798814837105
88be08c4c5fffff,-34.134627545615864,150.71271235235665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,nothing,0.0,66000.0,1,55.31333197796434
