h3_index,latitude,longitude,bike_amenities,car_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,needs_amenities,other_amenities,pet_amenity,public_transport,shops_amenities,social_amenities,study_amenity,water_amenities,work_amenity,parking_area,traffic_count,number_stations,highway,subway,voltage,has_charging_station,distance_to_center
88194e6db7fffff,51.40426832091726,0.1024466533058287,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,13.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,10831.933563407163,0.0,0.0,1.0,0.0,0.0,0,17.8845532800005
88194e6db9fffff,51.41557770258972,0.11829848023558119,0.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,32.0,8.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,188603.24322483037,19115.38888888889,0.0,33.0,0.0,0.0,0,18.277669492556182
88194e6dbbfffff,51.40781695326056,0.12250874580643911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56948.904974358105,0.0,0.0,0.0,0.0,0.0,0,18.920547591308914
88194e6dbdfffff,51.41768423259226,0.10615954547855128,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,81312.03467098017,64850.541666666664,0.0,10.0,0.0,0.0,0,17.414099460867455
88194e6dc1fffff,51.448051448746064,0.13366515341951093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,5660.3975120404975,89945.96296296296,0.0,4.0,0.0,0.0,0,18.10050871838491
88194e6dc3fffff,51.440292291055265,0.13787516237941375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7847.806728121047,0.0,0.0,0.0,0.0,0.0,0,18.599064279847212
88194e6dc5fffff,51.45016053484392,0.12152151080022328,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,7406.59227666884,37753.993055555555,1.0,4.0,0.0,0.0,1,17.225054123336694
88194e6dc7fffff,51.44240150849211,0.12573376744116924,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,4934.820052948162,3671.0,3.0,2.0,0.0,132000.0,1,17.722869659547143
88194e6dc9fffff,51.453700183162745,0.14159756054598643,8.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,17.0,16.0,0.0,10.0,8.0,1.0,0.0,0.0,0.0,39696.38847836212,17239.333333333332,0.0,33.0,0.0,0.0,0,18.50819442240316
88194e6dcbfffff,51.445941291787655,0.14580661863928748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,16231.20986038357,1761.857142857143,0.0,4.0,0.0,0.0,0,18.975956117230492
