h3_index,bike_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,other_amenities,pet_amenity,social_amenities,water_amenities,parking_area,traffic_count,сharger_number,highway,public_transport,voltage,car_amenities,needs_amenities,shops_amenities,work_amenity,has_charging_station,usage_type,study_amenity,latitude,longitude,distance_to_center
88195da5bdfffff,0.0,0.0,5.0,0.0,6.0,0.0,0.0,14.0,0.0,1.0,0.0,2800340.252915362,4254134.118013784,0.0,54.0,22.0,0.0,3.0,10.0,10.0,1.0,0,nothing,0.0,51.530516212329395,-0.2645766452858273,16996.261856397916
88195da5c1fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,369613.16156664654,1035358.656547619,0.0,4.0,9.0,0.0,6.0,2.0,3.0,0.0,0,nothing,0.0,51.56097481542995,-0.2371263207393837,16992.922718446047
88195da5c3fffff,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,1224928.7803030305,0.0,32.0,10.0,0.0,0.0,0.0,5.0,0.0,0,nothing,0.0,51.55322236183045,-0.2328440181005561,16993.094755879432
88195da5c5fffff,0.0,0.0,3.0,1.0,0.0,0.0,1.0,27.0,1.0,2.0,0.0,11226.56650573896,13120045.04017857,1.0,6.0,10.0,0.0,0.0,4.0,8.0,0.0,1,Public use,0.0,51.56305265994605,-0.2493465436183899,16993.542215267906
88195da5c7fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,636439.7819946081,5504075.369318182,0.0,16.0,18.0,0.0,1.0,4.0,3.0,0.0,0,nothing,0.0,51.55530035263568,-0.2450619786874443,16993.714440272888
88195da5c9fffff,0.0,0.0,4.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1808771.8272268237,8697752.155449264,0.0,10.0,20.0,0.0,4.0,0.0,5.0,0.0,0,nothing,0.0,51.56664807037809,-0.2291896231842978,16992.131067007
88195da5cbfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,570481.11454291,1709282.4166666667,0.0,6.0,6.0,1166.1807580174927,0.0,0.0,6.0,0.0,0,nothing,0.0,51.558895880305194,-0.2249082631561117,16992.303156459897
88195da5cdfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23533612.11031746,0.0,0.0,5.0,0.0,0.0,4.0,3.0,0.0,0,nothing,0.0,51.56872685932527,-0.2414099433923834,16992.75044147379
88195da5d1fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,337796.8258102508,1382249.186904762,0.0,11.0,13.0,64.1399416909621,1.0,2.0,5.0,0.0,0,nothing,0.0,51.54339027245202,-0.2163495005470441,16992.64661681064
88195da5d3fffff,1.0,1.0,5.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,39850.58365842774,1642509.8333333333,0.0,22.0,2.0,0.0,0.0,89.0,10.0,0.0,0,nothing,0.0,51.5356368554437,-0.2120720968424505,16992.81798756115
88195da5d5fffff,0.0,0.0,12.0,1.0,0.0,0.0,0.0,59.0,1.0,1.0,0.0,703018.5519354093,2717159.3457792206,0.0,99.0,14.0,0.0,6.0,15.0,16.0,0.0,0,nothing,1.0,51.545469498912794,-0.2285630349136486,16993.26655370014
88195da5d7fffff,0.0,0.0,5.0,0.0,0.0,0.0,1.0,66.0,0.0,0.0,0.0,228840.75747071416,1989570.363095238,0.0,62.0,14.0,0.0,2.0,8.0,12.0,0.0,0,nothing,3.0,51.53771622706305,-0.2242833706167144,16993.43811183443
88195da5d9fffff,0.0,1.0,3.0,2.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,187531.99467020025,3209062.152083333,2.0,22.0,12.0,0.0,5.0,6.0,16.0,0.0,1,Taxi,0.0,51.54906311034051,-0.208414592313748,16991.855192011288
88195da5dbfffff,1.0,0.0,6.0,1.0,0.0,0.0,0.0,66.0,0.0,5.0,0.0,239625.26564722555,2034016.7990079368,0.0,24.0,12.0,1230.3206997084549,3.0,14.0,14.0,1.0,0,nothing,1.0,51.54130995687758,-0.2041381313203999,16992.02661507119
88195da5ddfffff,0.0,0.0,16.0,2.0,0.0,0.0,1.0,42.0,0.0,0.0,0.0,122170.94962408012,2686676.625,0.0,37.0,15.0,0.0,0.0,10.0,8.0,0.0,0,nothing,0.0,51.551143280867855,-0.2206282224643533,16992.47500641901
88195da5e1fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2192525.1469375365,3678323.673611111,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0,nothing,0.0,51.55945306140371,-0.2695043925687243,16994.953613379766
88195da5e3fffff,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2633954.8011115706,6358437.538961039,0.0,31.0,18.0,0.0,1.0,0.0,3.0,0.0,0,nothing,0.0,51.55170063768808,-0.2652166235046594,16995.125974071965
88195da5e5fffff,0.0,1.0,13.0,0.0,0.0,0.0,1.0,36.0,0.0,1.0,0.0,149151.16805972118,4476232.107638889,2.0,31.0,33.0,0.0,5.0,18.0,4.0,0.0,1,Taxi,0.0,51.56152777818146,-0.2817288447884162,16995.57310185343
88195da5e7fffff,1.0,0.0,2.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,3518168.8281833436,3804453.298989899,0.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,0,nothing,0.0,51.55377550176935,-0.2774388130776396,16995.745650364304
88195da5e9fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,197461.39223713812,8019518.857638889,0.0,38.0,10.0,0.0,0.0,0.0,5.0,0.0,0,nothing,0.0,51.5651294132608,-0.2615689312566662,16994.161646805685
