h3_index,bicycle_amenities,bike_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,other_amenities,pet_amenity,social_amenities,water_amenities,parking_area,traffic_count,сharger_number,highway,public_transport,railway,subway,voltage,distance_class,car_amenities,needs_amenities,shops_amenities,work_amenity,has_charging_station,usage_type,study_amenity,latitude,longitude,distance_to_center
88194ad2a5fffff,0.0,0.0,1.0,16.0,1.0,0.0,0.0,1.0,40.0,0.0,3.0,0.0,9781.055587530676,2326640.498611111,0.0,9.0,11.0,0.0,0.0,0.0,400,1.0,5.0,7.0,0.0,0,nothing,0.0,51.444353905027135,-0.007422520052839101,16985.47095098609
88194ad2a7fffff,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18186.72004788571,1522031.7083333333,0.0,4.0,11.0,0.0,0.0,0.0,404,0.0,0.0,9.0,0.0,0,nothing,0.0,51.43659488578267,-0.0031884815362499454,16985.63755431239
88194ad2a9fffff,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,123.0,0.0,1.0,0.0,200177.1312157223,7275498.663194444,0.0,42.0,15.0,1.0,0.0,0.0,362,0.0,0.0,9.0,0.0,0,nothing,0.0,51.44791824983222,0.012665923246823014,16984.05927925896
88194ad2abfffff,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,46.0,0.0,1.0,0.0,517587.2556584303,2664609.0969444443,0.0,76.0,7.0,0.0,0.0,0.0,367,23.0,26.0,6.0,0.0,0,nothing,0.0,51.44015936001094,0.016896765960919383,16984.22575122323
88194ad2adfffff,1.0,0.0,1.0,17.0,3.0,0.0,1.0,1.0,509.0,0.0,2.0,0.0,52777.626001256416,2492794.35,0.0,3.0,14.0,1.0,0.0,0.0,379,3.0,2.0,9.0,0.0,0,nothing,0.0,51.4500159251746,0.0005051155868493256,16984.681724778093
88194ad2b1fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,98514.76929555422,244596.89393939395,0.0,4.0,6.0,0.0,0.0,0.0,375,0.0,0.0,2.0,0.0,0,nothing,0.0,51.42464038162636,0.025354544867373142,16984.557976410448
88194ad2b3fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325103.4088170042,1429941.6428571427,0.0,0.0,0.0,0.0,0.0,0.0,380,0.0,0.0,0.0,0.0,0,nothing,0.0,51.41688029383323,0.029581482169795007,16984.723729490765
88194ad2b5fffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,585738.8501040773,557464.9532828283,0.0,4.0,10.0,0.0,0.0,0.0,392,0.0,2.0,2.0,0.0,0,nothing,0.0,51.4267384617251,0.01320048391855131,16985.1809781614
88194ad2b7fffff,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,340011.38268771797,475346.71969696967,0.0,1.0,9.0,0.0,0.0,0.0,396,6.0,4.0,1.0,0.0,0,nothing,0.0,51.41897850817652,0.017429668773084064,16985.346916558512
88194ad2b9fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,361598.9622611251,0.0,0.0,6.0,12.0,0.0,0.0,0.0,354,1.0,4.0,4.0,0.0,0,nothing,0.0,51.4303010498234,0.03328044548001198,16983.769105268922
